raceId,driverId,year,constructorId,grid,position,win,pole,pit_stop_count,pit_stop_binary
846,24,2011,164,24,16,0,0,1,0
846,30,2011,131,5,22,0,0,1,0
846,39,2011,164,23,17,0,0,2,0
846,67,2011,5,17,10,0,0,2,0
846,153,2011,5,20,20,0,0,2,0
846,155,2011,15,13,5,0,0,1,0
846,808,2011,4,11,19,0,0,1,0
846,813,2011,3,9,18,0,0,2,0
846,814,2011,10,14,12,0,0,3,1
846,815,2011,15,10,24,0,0,0,0
846,816,2011,166,22,15,0,0,2,0
847,1,2011,1,5,24,0,0,0,0
847,2,2011,4,9,20,0,0,2,0
847,3,2011,131,6,11,0,0,4,1
847,4,2011,6,2,22,0,0,3,1
847,5,2011,205,20,23,0,0,1,0
847,10,2011,166,22,16,0,0,2,0
847,13,2011,6,3,6,0,0,4,1
847,15,2011,205,19,17,0,0,3,1
847,16,2011,10,14,21,0,0,4,1
847,17,2011,9,4,3,0,0,3,1
847,18,2011,1,7,1,1,0,6,1
847,20,2011,9,1,2,0,1,3,1
847,22,2011,3,16,9,0,0,4,1
847,24,2011,164,21,13,0,0,3,1
847,30,2011,131,8,4,0,0,4,1
847,37,2011,15,17,12,0,0,2,0
847,39,2011,164,23,14,0,0,2,0
847,67,2011,5,15,10,0,0,4,1
847,153,2011,5,18,8,0,0,3,1
847,155,2011,15,13,7,0,0,2,0
847,808,2011,4,10,5,0,0,2,0
847,813,2011,3,12,19,0,0,5,1
847,814,2011,10,11,18,0,0,4,1
847,816,2011,166,24,15,0,0,5,1
848,1,2011,1,3,4,0,0,3,1
848,2,2011,4,9,10,0,0,3,1
848,3,2011,131,7,7,0,0,3,1
848,4,2011,6,4,2,0,0,3,1
848,5,2011,205,19,19,0,0,3,1
848,10,2011,166,21,21,0,0,2,0
848,13,2011,6,5,5,0,0,3,1
848,15,2011,205,20,20,0,0,2,0
848,16,2011,10,10,9,0,0,3,1
848,17,2011,9,2,3,0,0,3,1
848,18,2011,1,6,6,0,0,3,1
848,20,2011,9,1,1,1,1,3,1
848,22,2011,3,13,12,0,0,3,1
848,24,2011,164,22,23,0,0,3,1
848,30,2011,131,8,17,0,0,3,1
848,39,2011,164,24,24,0,0,3,1
848,67,2011,5,17,13,0,0,3,1
848,153,2011,5,18,8,0,0,2,0
848,155,2011,15,14,16,0,0,2,0
848,808,2011,4,11,15,0,0,3,1
848,813,2011,3,15,18,0,0,3,1
848,814,2011,10,12,14,0,0,3,1
848,815,2011,15,16,11,0,0,1,0
848,816,2011,166,23,22,0,0,2,0
849,1,2011,1,10,4,0,0,3,1
849,2,2011,4,16,8,0,0,2,0
849,3,2011,131,9,6,0,0,2,0
849,4,2011,6,3,1,1,0,3,1
849,5,2011,205,17,24,0,0,0,0
849,10,2011,166,20,16,0,0,2,0
849,13,2011,6,4,5,0,0,3,1
849,15,2011,205,21,23,0,0,0,0
849,16,2011,10,11,11,0,0,3,1
849,17,2011,9,1,3,0,1,3,1
849,18,2011,1,5,20,0,0,3,1
849,20,2011,9,2,2,0,0,3,1
849,22,2011,3,15,13,0,0,2,0
849,24,2011,164,23,18,0,0,2,0
849,30,2011,131,13,9,0,0,3,1
849,67,2011,5,19,21,0,0,2,0
849,153,2011,5,18,10,0,0,2,0
849,155,2011,15,8,22,0,0,2,0
849,808,2011,4,14,12,0,0,2,0
849,813,2011,3,7,14,0,0,3,1
849,814,2011,10,6,15,0,0,3,1
849,815,2011,15,12,7,0,0,2,0
849,816,2011,166,22,17,0,0,2,0
849,817,2011,164,24,19,0,0,2,0
850,1,2011,1,2,1,1,0,3,1
850,2,2011,4,11,24,0,0,0,0
850,3,2011,131,6,7,0,0,3,1
850,4,2011,6,4,2,0,0,3,1
850,5,2011,205,19,16,0,0,2,0
850,10,2011,166,20,17,0,0,2,0
850,13,2011,6,5,5,0,0,3,1
850,16,2011,10,8,6,0,0,2,0
850,17,2011,9,1,3,0,1,3,1
850,18,2011,1,7,22,0,0,1,0
850,20,2011,9,3,4,0,0,3,1
850,22,2011,3,14,23,0,0,0,0
850,24,2011,164,23,21,0,0,1,0
850,30,2011,131,10,8,0,0,3,1
850,67,2011,5,16,15,0,0,2,0
850,153,2011,5,17,12,0,0,2,0
850,155,2011,15,18,9,0,0,2,0
850,808,2011,4,9,10,0,0,2,0
850,812,2011,205,21,20,0,0,3,1
850,813,2011,3,13,14,0,0,2,0
850,814,2011,10,12,13,0,0,2,0
850,815,2011,15,15,11,0,0,2,0
850,816,2011,166,22,18,0,0,2,0
850,817,2011,164,24,19,0,0,2,0
851,1,2011,1,2,4,0,0,6,1
851,2,2011,4,14,23,0,0,2,0
851,3,2011,131,7,9,0,0,4,1
851,4,2011,6,5,3,0,0,4,1
851,5,2011,205,19,21,0,0,5,1
851,10,2011,166,21,17,0,0,3,1
851,13,2011,6,4,6,0,0,4,1
851,15,2011,205,20,24,0,0,1,0
851,16,2011,10,8,14,0,0,4,1
851,17,2011,9,6,5,0,0,5,1
851,18,2011,1,3,1,1,0,3,1
851,20,2011,9,1,2,0,1,3,1
851,22,2011,3,15,13,0,0,5,1
851,24,2011,164,22,20,0,0,5,1
851,30,2011,131,9,22,0,0,2,0
851,67,2011,5,18,8,0,0,3,1
851,153,2011,5,16,10,0,0,3,1
851,155,2011,15,13,11,0,0,3,1
851,808,2011,4,12,12,0,0,4,1
851,813,2011,3,17,16,0,0,5,1
851,814,2011,10,11,7,0,0,3,1
851,815,2011,15,10,15,0,0,4,1
851,816,2011,166,24,19,0,0,4,1
851,817,2011,164,23,18,0,0,3,1
852,1,2011,1,2,22,0,0,1,0
852,3,2011,131,5,6,0,0,2,0
852,4,2011,6,8,4,0,0,2,0
852,5,2011,205,17,15,0,0,3,1
852,10,2011,166,20,18,0,0,4,1
852,13,2011,6,4,8,0,0,3,1
852,15,2011,205,19,14,0,0,2,0
852,16,2011,10,15,7,0,0,2,0
852,17,2011,9,3,2,0,0,2,0
852,18,2011,1,13,3,0,0,3,1
852,20,2011,9,1,1,1,1,3,1
852,22,2011,3,14,16,0,0,3,1
852,24,2011,164,22,19,0,0,2,0
852,67,2011,5,11,23,0,0,0,0
852,153,2011,5,6,24,0,0,0,0
852,155,2011,15,12,12,0,0,2,0
852,808,2011,4,10,9,0,0,2,0
852,811,2011,4,7,13,0,0,3,1
852,813,2011,3,16,10,0,0,2,0
852,814,2011,10,18,11,0,0,2,0
852,815,2011,15,9,20,0,0,3,1
852,816,2011,166,21,17,0,0,2,0
852,817,2011,164,23,21,0,0,1,0
853,1,2011,1,2,4,0,0,2,0
853,3,2011,131,9,23,0,0,0,0
853,4,2011,6,4,3,0,0,2,0
853,5,2011,205,20,13,0,0,2,0
853,10,2011,166,21,15,0,0,2,0
853,13,2011,6,6,6,0,0,2,0
853,15,2011,205,19,14,0,0,2,0
853,16,2011,10,12,19,0,0,0,0
853,17,2011,9,5,20,0,0,0,0
853,18,2011,1,3,2,0,0,2,0
853,20,2011,9,1,1,1,1,2,0
853,22,2011,3,13,12,0,0,2,0
853,24,2011,164,24,24,0,0,0,0
853,30,2011,131,8,5,0,0,2,0
853,67,2011,5,16,10,0,0,2,0
853,153,2011,5,18,7,0,0,2,0
853,155,2011,15,17,18,0,0,2,0
