raceId,driverId,grid,position,constructorId
33,14,11,20,9
33,12,12,4,4
33,17,13,8,9
33,6,14,15,3
33,3,15,11,3
33,2,16,9,2
33,22,17,13,11
33,18,18,14,11
33,16,19,18,10
33,21,20,16,10
34,1,1,1,1
34,8,2,3,6
34,13,3,2,6
34,4,4,4,4
34,5,5,18,1
34,17,6,14,9
34,2,7,5,2
34,20,8,9,5
34,15,9,20,7
34,7,10,13,5
34,12,11,8,4
34,9,12,6,2
34,10,13,7,7
34,22,14,11,11
34,3,15,15,3
34,14,16,10,9
34,6,17,12,3
34,18,18,16,11
34,16,19,19,10
34,21,20,17,10
35,13,1,1,6
35,15,2,8,7
35,8,3,3,6
35,1,4,5,1
35,5,5,7,1
35,4,6,2,4
35,20,7,4,5
35,2,8,10,2
35,7,9,14,5
35,10,10,6,7
35,12,11,19,4
35,17,12,9,9
35,9,13,11,2
35,14,14,20,9
35,22,15,15,11
35,6,16,17,3
35,18,17,13,11
35,3,18,12,3
35,21,19,18,10
35,16,20,16,10
36,8,1,1,6
36,4,2,2,1
36,2,3,4,2
36,1,4,3,1
36,9,5,20,2
36,21,6,5,4
36,17,7,13,9
36,15,8,9,7
36,23,9,8,7
36,11,10,12,8
36,19,11,16,8
36,3,12,7,3
36,5,13,10,4
36,18,14,15,11
36,25,15,18,3
36,13,16,6,6
36,22,17,11,11
36,26,18,21,5
36,14,19,19,9
36,24,20,14,5
36,16,21,17,12
36,27,22,22,12
37,13,1,5,6
37,4,2,1,1
37,8,3,3,6
37,1,4,2,1
37,2,5,4,2
37,3,6,19,3
37,9,7,18,2
37,15,8,7,7
37,23,9,15,7
37,17,10,10,9
37,5,11,8,4
37,21,12,6,4
37,14,13,20,9
37,11,14,13,8
37,18,15,12,11
37,24,16,17,5
37,26,17,14,5
37,19,18,16,8
37,22,19,11,11
37,25,20,9,3
37,27,21,21,12
37,16,22,22,12
38,13,1,1,6
38,1,2,2,1
38,8,3,3,6
38,4,4,5,1
38,2,5,4,2
38,9,6,6,2
38,21,7,8,4
38,17,8,17,9
38,15,9,7,7
38,3,10,10,3
38,25,11,11,3
38,5,12,9,4
38,19,13,16,8
38,23,14,12,7
38,22,15,13,11
38,18,16,21,11
38,11,17,19,8
38,24,18,20,5
38,26,19,22,5
38,16,20,15,12
38,14,21,18,9
38,27,22,14,12
39,13,1,1,6
39,4,2,3,1
39,8,3,19,6
39,1,4,2,1
39,9,5,4,2
39,15,6,20,7
39,2,7,15,2
39,5,8,7,4
39,14,9,5,9
39,21,10,9,4
39,3,11,6,3
39,22,12,10,11
39,11,13,8,8
39,18,14,12,11
39,19,15,11,8
39,24,16,17,5
39,23,17,16,7
39,25,18,22,3
39,17,19,21,9
39,16,20,13,12
39,27,21,14,12
39,26,22,18,5
40,4,1,1,1
40,1,2,2,1
40,13,3,3,6
40,21,4,4,4
40,3,5,12,3
40,17,6,21,9
40,2,7,6,2
40,9,8,5,2
40,22,9,10,11
40,18,10,11,11
40,25,11,7,3
40,24,12,22,5
40,14,13,14,9
40,15,14,15,7
40,5,15,13,4
40,8,16,8,6
40,19,17,18,8
40,26,18,9,5
40,16,19,20,12
40,23,20,16,7
40,11,21,17,8
40,27,22,19,12
41,1,1,1,1
41,4,2,7,1
41,2,3,2,2
41,8,4,5,6
41,13,5,21,6
41,17,6,9,9
41,3,7,10,3
41,9,8,17,2
41,21,9,22,4
41,15,10,13,7
41,11,11,6,8
41,24,12,14,5
41,22,13,12,11
41,14,14,16,9
41,18,15,20,11
41,26,16,19,5
41,19,17,11,8
41,23,18,8,7
41,25,19,3,3
41,16,20,18,12
41,27,21,15,12
41,5,22,4,4
42,1,1,1,1
42,4,2,2,1
42,13,3,3,6
42,8,4,4,6
42,2,5,18,2
42,5,6,5,4
42,20,7,8,2
42,15,8,6,7
42,17,9,7,9
42,21,10,9,4
42,14,11,20,9
42,23,12,22,7
42,18,13,12,11
42,3,14,16,3
42,22,15,21,11
42,19,16,11,8
42,25,17,10,3
42,11,18,19,8
42,24,19,17,5
42,26,20,13,5
42,16,21,14,12
42,27,22,15,12
43,13,1,2,6
43,1,2,3,1
43,8,3,1,6
43,9,4,4,2
43,21,5,6,4
43,5,6,15,4
43,2,7,5,2
43,15,8,21,7
43,3,9,9,3
43,4,10,7,1
43,23,11,10,7
43,18,12,8,11
43,22,13,11,11
43,17,14,12,9
43,26,15,18,5
43,14,16,13,9
43,24,17,22,5
43,25,18,14,3
43,19,19,20,8
43,27,20,19,12
43,16,21,17,12
43,11,22,16,8
44,1,1,3,1
44,8,2,1,6
44,4,3,2,1
44,13,4,5,6
44,9,5,4,2
44,23,6,20,7
44,5,7,7,4
44,21,8,8,4
44,2,9,6,2
44,15,10,17,7
44,17,11,22,9
44,14,12,11,9
44,25,13,13,3
44,22,14,9,11
44,26,15,19,5
44,24,16,16,5
44,3,17,12,3
44,18,18,10,11
44,19,19,18,8
44,16,20,21,12
44,11,21,14,8
44,27,22,15,12
45,8,1,14,6
45,4,2,1,1
45,13,3,2,6
45,2,4,6,2
45,9,5,7,2
45,17,6,3,9
45,5,7,8,4
45,15,8,13,7
45,23,9,16,7
45,1,10,9,1
45,3,11,20,3
45,25,12,4,3
45,21,13,10,4
45,22,14,11,11
45,19,15,12,8
45,11,16,15,8
45,18,17,18,11
45,26,18,21,5
45,24,19,22,5
45,14,20,5,9
45,16,21,19,12
45,28,22,17,12
46,4,1,4,1
46,1,2,1,1
46,2,3,3,2
46,8,4,2,6
46,3,5,7,3
46,23,6,6,7
46,9,7,5,2
46,21,8,12,4
46,15,9,10,7
46,17,10,9,9
46,14,11,11,9
46,5,12,8,4
46,25,13,14,3
46,13,14,13,6
46,19,15,20,8
46,24,16,19,5
46,18,17,21,11
46,22,18,18,11
46,11,19,15,8
46,20,20,16,5
46,16,21,17,12
46,29,22,22,12
47,13,1,1,6
47,1,2,5,1
47,8,3,2,6
47,4,4,3,1
47,9,5,8,2
47,2,6,4,2
47,5,7,6,4
47,3,8,7,3
47,15,9,16,7
47,21,10,9,4
47,19,11,14,8
47,17,12,22,9
47,14,13,10,9
47,25,14,11,3
47,24,15,15,5
47,23,16,12,7
47,11,17,18,8
47,20,18,19,5
47,16,19,21,12
47,29,20,20,12
47,18,21,13,11
47,22,22,17,11
48,4,1,1,1
48,1,2,2,1
48,13,3,21,6
48,2,4,4,2
48,8,5,3,6
48,9,6,5,2
48,5,7,7,4
48,3,8,6,3
48,15,9,11,7
48,18,10,8,11
48,17,11,9,9
48,22,12,10,11
48,25,13,13,3
48,19,14,14,8
48,21,15,12,4
48,20,16,18,5
48,11,17,16,8
48,23,18,15,7
48,24,19,17,5
48,14,20,22,9
48,16,21,19,12
48,29,22,20,12
49,8,1,1,6
49,13,2,2,6
49,4,3,3,1
49,1,4,4,1
49,3,5,6,3
49,2,6,5,2
49,17,7,7,9
49,15,8,11,7
49,5,9,8,4
49,23,10,10,7
49,14,11,20,9
49,18,12,18,11
49,24,13,12,5
49,9,14,9,2
49,25,15,19,3
49,20,16,21,5
49,22,17,13,11
49,11,18,15,8
49,16,19,14,12
49,19,20,16,8
49,29,21,17,12
49,21,22,22,4
50,1,1,1,1
50,4,2,21,1
50,8,3,3,6
50,13,4,6,6
50,2,5,14,2
50,18,6,11,11
50,17,7,20,9
50,20,8,19,5
50,9,9,7,2
50,21,10,5,4
50,5,11,2,4
50,14,12,4,9
50,15,13,13,7
50,24,14,9,5
50,23,15,16,7
50,3,16,18,3
50,22,17,10,11
50,25,18,22,3
50,19,19,17,8
50,16,20,8,12
50,11,21,15,8
50,29,22,12,12
51,1,1,19,1
51,8,2,1,6
51,13,3,3,6
51,4,4,2,1
51,14,5,8,9
51,23,6,20,7
51,17,7,10,9
51,2,8,7,2
51,9,9,18,2
51,18,10,5,11
51,24,11,6,5
51,15,12,13,7
51,5,13,9,4
51,19,14,22,8
51,3,15,16,3
51,22,16,15,11
51,20,17,4,5
51,21,18,11,4
51,25,19,12,3
51,11,20,14,8
51,16,21,21,12
51,29,22,17,12
52,13,1,2,6
52,1,2,7,1
52,8,3,1,6
52,4,4,3,1
52,17,5,20,9
52,2,6,6,2
52,9,7,5,2
52,15,8,8,7
52,14,9,9,9
52,3,10,4,3
52,22,11,16,11
52,21,12,22,4
52,20,13,18,5
52,24,14,13,5
52,23,15,11,7
52,18,16,19,11
52,5,17,17,4
52,11,18,12,8
52,6,19,10,3
52,19,20,14,8
52,16,21,15,12
52,29,22,21,12
53,30,1,2,6
53,13,2,9,6
53,18,3,4,11
53,4,4,1,4
53,31,5,5,1
53,22,6,15,11
53,17,7,6,3
53,32,8,8,9
53,21,9,21,4
53,2,10,12,2
53,35,11,20,2
53,3,12,7,3
53,14,13,10,9
53,15,14,16,7
53,24,15,11,5
53,26,16,13,5
53,23,17,14,7
53,27,18,22,13
53,33,19,17,13
53,11,20,18,8
53,34,21,19,8
53,8,22,3,1
54,21,1,1,4
54,18,2,3,11
54,3,3,21,3
54,30,4,6,6
54,17,5,19,3
54,31,6,4,1
54,8,7,22,1
54,4,8,2,4
54,32,9,18,9
54,23,10,8,7
54,14,11,20,9
54,22,12,10,11
54,15,13,9,7
54,35,14,7,2
54,2,15,15,2
54,13,16,5,6
54,26,17,16,5
54,24,18,11,5
54,27,19,12,13
54,33,20,13,13
54,11,21,14,8
54,34,22,17,8
55,18,1,10,11
55,21,2,5,4
55,4,3,1,4
55,8,4,2,1
55,31,5,14,1
55,23,6,3,7
55,17,7,18,3
55,2,8,4,2
55,35,9,6,2
55,15,10,20,7
55,30,11,17,6
55,14,12,8,9
55,24,13,16,5
55,32,14,19,9
55,3,15,21,3
55,13,16,22,6
55,22,17,7,11
55,27,18,11,13
55,26,19,9,5
55,33,20,15,13
55,11,21,12,8
55,34,22,13,8
56,30,1,1,6
56,18,2,7,11
56,22,3,10,11
56,13,4,4,6
56,4,5,2,4
56,23,6,9,7
56,31,7,3,1
56,8,8,5,1
56,15,9,21,7
56,17,10,6,3
56,21,11,8,4
56,35,12,12,2
56,3,13,11,3
56,14,14,17,9
56,2,15,13,2
56,24,16,14,5
56,32,17,19,9
56,26,18,15,5
56,33,19,16,13
56,27,20,22,13
56,11,21,18,8
56,34,22,20,8
57,4,1,2,4
57,30,2,1,6
57,13,3,3,6
57,22,4,5,11
57,8,5,4,1
57,18,6,18,11
57,15,7,9,7
57,35,8,8,2
57,31,9,15,1
57,17,10,20,3
57,23,11,14,7
57,3,12,7,3
57,21,13,6,4
57,14,14,21,9
57,2,15,10,2
57,24,16,22,5
57,32,17,19,9
57,27,18,13,13
57,26,19,11,5
57,33,20,12,13
57,11,21,16,8
57,36,22,17,8
58,4,1,1,4
58,21,2,3,4
58,30,3,2,6
58,13,4,4,6
58,22,5,7,11
58,23,6,20,7
58,15,7,10,7
58,18,8,6,11
58,8,9,5,1
58,2,10,8,2
58,17,11,9,3
58,31,12,21,1
58,3,13,11,3
58,35,14,12,2
58,32,15,13,9
58,24,16,15,5
58,26,17,19,5
58,33,18,16,13
58,27,19,18,13
58,11,20,17,8
58,36,21,22,8
58,14,22,14,9
59,4,1,1,4
59,17,2,21,3
59,8,3,20,1
59,31,4,2,1
59,22,5,4,11
59,15,6,17,7
59,14,7,3,9
59,3,8,19,3
59,21,9,6,4
59,23,10,8,7
59,32,11,18,9
59,24,12,10,5
59,18,13,11,11
59,35,14,14,2
59,2,15,7,2
59,27,16,12,13
59,33,17,15,13
